so,co,date,date1
B1,1,Nov,1
B2,0,Nov,1
B3,1,Nov,1
B4,0,Nov,1
B5,0,Nov,1
B6,1,Nov,1
T1,0,Nov,1
T2,0,Nov,1
T3,0,Nov,1
T4,0,Nov,1
T5,0,Nov,1
B1,1,Jan,1
B2,0,Jan,1
B3,0,Jan,1
B4,0,Jan,1
B5,1,Jan,1
B6,0,Jan,1
T1,0,Jan,1
T2,0,Jan,1
T3,0,Jan,1
T4,0,Jan,1
T5,0,Jan,1
B1,0,Feb,1
B2,0,Feb,1
B3,0,Feb,1
B4,0,Feb,1
B5,0,Feb,1
B6,0,Feb,1
T1,0,Feb,1
T2,0,Feb,1
T3,0,Feb,1
T4,0,Feb,1
T5,0,Feb,1
B1,0,Mar,1
B2,0,Mar,1
B3,0,Mar,1
B4,0,Mar,1
B5,0,Mar,1
B6,0,Mar,1
T1,0,Mar,1
T2,0,Mar,1
T3,0,Mar,1
T4,0,Mar,1
T5,0,Mar,1
B1,0,May,1
B2,0,May,1
B3,0,May,1
B4,0,May,1
B5,0,May,1
B6,0,May,1
T1,0,May,1
T2,0,May,1
T3,0,May,1
T4,0,May,1
T5,0,May,1
B1,0,Jun,1
B2,0,Jun,1
B3,0,Jun,1
B4,0,Jun,1
B5,0,Jun,1
B6,0,Jun,1
T1,0,Jun,1
T2,0,Jun,1
T3,0,Jun,1
T4,0,Jun,1
T5,0,Jun,1
B1,2,Jul,1
B2,2,Jul,1
B3,2,Jul,1
B4,1,Jul,1
B5,2,Jul,1
B6,2,Jul,1
